Issuer,Ticker,Coupon,Maturity,Issue Date,ISIN,Principal Currency,Country of Issue,Issuer Type,Instrument Type,Coupon Type,Amount Issued (USD),Bond Grade,Yield to Maturity,Option Adjusted Spread,Amount Outstanding,Parent Domicile,Sector,Rating,Actual,Outlook,Watch,Scope
Avolon Holdings Funding Ltd,HINAOU,3.9500,30/06/2024,15/04/2019,US05401AAF84,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"1,000,000,000",Investment Grade,6.4817670,166.1,"977,179,000",China (Mainland),Financial - Other,BBB-,Actual,Rating Outlook Stable,,Foreign
Avolon Holdings Funding Ltd,HINAOU,3.9500,30/06/2024,15/04/2019,USG0686BAE95,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"1,000,000,000",Investment Grade,6.4722960,166.3,"977,179,000",China (Mainland),Financial - Other,BBB-,Actual,Rating Outlook Stable,,Foreign
Penske Truck Leasing Co LP,PENSK,3.4500,30/06/2024,30/04/2019,US709599BF05,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"700,000,000",Investment Grade,5.8717930,105.0,"700,000,000",United States,Leasing,BBB+,Actual,Rating Outlook Stable,,Foreign
Penske Truck Leasing Co LP,PENSK,3.4500,30/06/2024,30/04/2019,USU71000AY61,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"700,000,000",Investment Grade,5.8623030,105.2,"700,000,000",United States,Leasing,BBB+,Actual,Rating Outlook Stable,,Foreign
Skandinaviska Enskilda Banken AB,SEB,0.0500,30/06/2024,30/06/2019,XS2020568734,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"1,071,995,197",Investment Grade,3.6390110,66.5,"1,000,000,000",Sweden,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
Occidental Petroleum Corp,OXY,6.9500,30/06/2024,17/09/2019,US674599DB86,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"582,523,000",High Yield,5.9821270,115.8,"223,617,000",United States,Oil and Gas,BB+,Actual,Rating Outlook Positive,,Foreign
Realkredit Danmark A/S,DANSKT,2.9900,30/06/2024,5/05/2020,DK0004615713,Danish Krone,Denmark,Corporate,Saerligt Daekkede Realkreditobligation (Covered Bond),Fixed Margin over Index,"4,263,790,570",Investment Grade,2.6702970,--,"26,156,863,323",Denmark,Banking,A,Actual,Rating Outlook Stable,,Foreign
Realkredit Danmark A/S,DANSKT,2.9800,30/06/2024,5/05/2020,DK0004615630,Danish Krone,Denmark,Corporate,Saerligt Daekkede Realkreditobligation (Covered Bond),Fixed Margin over Index,"3,545,189,746",Investment Grade,2.9537540,--,"20,091,615,625",Denmark,Banking,A,Actual,Rating Outlook Stable,,Foreign
OP Yrityspankki Oyj,OPOSUY,0.1250,30/06/2024,30/06/2020,XS2197342129,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"1,071,995,197",Investment Grade,3.5511830,57.9,"1,000,000,000",Finland,Banking,WD,Actual,,,Foreign
Nykredit Realkredit A/S,FRNYKR,2.8242,30/06/2024,13/12/2020,DK0009531139,Danish Krone,Denmark,Corporate,Saerligt Daekkede Obligation (Covered Bond),Zero then Floating,"1,699,681,448",Investment Grade,3.2404210,--,"9,135,181,854",Denmark,Mortgage Banking,A,Actual,Rating Outlook Stable,,Foreign
Realkredit Danmark A/S,DANSKT,2.8500,30/06/2024,9/06/2021,DK0004619707,Danish Krone,Denmark,Corporate,Saerligt Daekkede Realkreditobligation (Covered Bond),Fixed Margin over Index,"1,091,750,549",Investment Grade,3.2375600,--,"7,352,660,339",Denmark,Banking,A,Actual,Rating Outlook Stable,,Foreign
Nykredit Realkredit A/S,FRNYKR,2.7431,30/06/2024,15/06/2021,DK0009533697,Danish Krone,Denmark,Corporate,Saerligt Daekkede Obligation (Covered Bond),Fixed Margin over Index,"3,900,727,955",Investment Grade,3.3359260,--,"24,538,534,159",Denmark,Mortgage Banking,A,Actual,Rating Outlook Stable,,Foreign
Target Corp,TGT,3.5000,30/06/2024,25/06/2014,US87612EBD76,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"1,000,000,000",Investment Grade,5.0737750,25.0,"1,000,000,000",United States,Retail Stores - Other,A,Actual,Rating Outlook Stable,,Foreign
Citizens Financial Group Inc,CFG,3.7500,30/06/2024,22/03/2016,US174610AL91,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"250,000,000",Investment Grade,6.9966560,217.8,"89,919,000",United States,Banking,BBB+,Actual,Rating Outlook Positive,,Foreign
CGNPC International Ltd,CNGNPC,2.7500,1/07/2024,1/07/2019,XS2014454933,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"600,000,000",Investment Grade,5.3219240,51.2,"600,000,000",China (Mainland),Financial - Other,A,Actual,Rating Outlook Stable,,Foreign
Credit Agricole Corporate and Investment Bank SA,CAGRAB,1.2600,1/07/2024,1/07/2019,XS1885953247,Australian Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"50,496,256",Investment Grade,5.1294290,152.7,"72,500,000",France,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Toyota Motor Corp,TOYOM,2.3580,1/07/2024,1/07/2019,US892331AF60,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",Investment Grade,5.0538020,23.2,"500,000,000",Japan,Automotive Manufacturer,A+,Actual,Rating Outlook Stable,,Foreign
Royal Bank of Canada,RY,2.3520,1/07/2024,1/07/2019,CA780086QY32,Canadian Dollar,Canada,Corporate,Note,Plain Vanilla Fixed Coupon,"1,500,375,093",Investment Grade,5.3100000,70.1,"2,000,000,000",Canada,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
Citigroup Inc,C,0.7200,1/07/2024,1/07/2021,XS1273435948,Hong Kong Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"67,517,643",Investment Grade,5.2911260,136.9,"530,000,000",United States,Banking,A,Actual,Rating Outlook Stable,,Foreign
Barclays Bank PLC,BARCR,0.0000,1/07/2024,21/12/2022,XS2448815568,Japanese Yen,Eurobond,Corporate,Note,Zero Coupon,"830,815,709",Investment Grade,0.6760380,74.7,"110,000,000,000",United Kingdom,Banking,A+,Actual,Rating Outlook Stable,,Foreign
AusNet Services Holdings Pty Ltd,ASTAU,5.3750,1/07/2024,1/07/2014,XS1082471423,Australian Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"87,062,510",Investment Grade,5.2796650,160.8,"125,000,000",Canada,Gas Utility - Local Distrib,WD,Actual,,,Foreign
Bayerische Landesbank,BLGG,1.9000,1/07/2024,1/07/2014,DE000BLB2UN8,Euro,Germany,Corporate,Inhaberschuldverschreibung,Plain Vanilla Fixed Coupon,"107,199,519",Investment Grade,4.3359090,134.8,"100,000,000",Germany,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Martin Marietta Materials Inc,MLM,4.2500,1/07/2024,18/12/2014,US573284AN63,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"400,000,000",Investment Grade,4.9807960,13.4,"400,000,000",United States,Building Products,BBB,Actual,Rating Outlook Stable,,Foreign
Johnson Controls International PLC,JCI,3.6250,1/07/2024,27/12/2016,US478375AG31,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"467,887,000",Investment Grade,5.2538000,43.1,"453,163,000",Ireland,Service - Other,WD,Actual,,,Foreign
Citigroup Global Markets Holdings Inc,CCGMH,0.7000,1/07/2024,1/07/2021,XS2307412986,Hong Kong Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"42,046,786",Investment Grade,--,--,"330,000,000",United States,Securities,A+,Actual,Rating Outlook Stable,,Foreign
Leeds Building Society,LBS,0.5000,2/07/2024,2/07/2017,XS1640668353,Euro,Eurobond,Corporate,Covered Bond (Other),Plain Vanilla Fixed Coupon,"535,997,598",Investment Grade,3.6554730,68.2,"500,000,000",United Kingdom,Mortgage Banking,A-,Actual,Rating Outlook Stable,,Foreign
CMB International Leasing Management Ltd,CMBIL,3.0000,2/07/2024,2/07/2019,XS2019219539,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"900,000,000",Investment Grade,5.6052560,79.7,"900,000,000",China (Mainland),Financial - Other,WD,Actual,Rating Outlook Stable,,Foreign
Landesbank Hessen Thueringen Girozentrale,HLBG,0.0000,2/07/2024,2/07/2019,XS2022037795,Euro,Eurobond,Corporate,Hypothekenpfandbrief (Covered Bond),Plain Vanilla Fixed Coupon,"803,996,398",Investment Grade,3.4241730,45.5,"750,000,000",Germany,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Pension Insurance Corp PLC,PENGRP,6.5000,2/07/2024,2/07/2014,XS1083983376,British Pound,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"364,051,161",Investment Grade,6.4353510,264.9,"300,000,000",United Kingdom,Financial - Other,A,Actual,Rating Outlook Stable,,Foreign
DZ BANK AG Deutsche Zentral Genossenschaftsbank Frankfurt am Main,DBANK,3.7900,3/07/2024,3/07/2022,XS2495481389,Chinese Yuan,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"14,345,555",Investment Grade,--,--,"100,000,000",Germany,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
NATWEST MARKETS PLC,NWGWE,0.8480,3/07/2024,3/07/2019,XS2021469023,Japanese Yen,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"62,688,821",Investment Grade,0.8464260,91.9,"8,300,000,000",United Kingdom,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Intesa Sanpaolo SpA,ISP,1.0000,3/07/2024,3/07/2019,XS2022425297,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"1,339,993,996",Investment Grade,3.8298880,85.4,"1,250,000,000",Italy,Banking,BBB,Actual,Rating Outlook Stable,,Foreign
Celanese US Holdings LLC,CECRH,5.9000,4/07/2024,13/07/2022,US15089QAR56,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"2,000,000,000",Investment Grade,5.8879570,107.0,"2,000,000,000",United States,Chemicals,BBB-,Actual,Rating Outlook Stable,,Foreign
Credit Agricole SA,CAGR,0.4400,4/07/2024,4/07/2019,JP525022AK79,Japanese Yen,Japan,Corporate,Bond,Plain Vanilla Fixed Coupon,"169,184,290",Investment Grade,0.9550000,103.6,"22,400,000,000",France,Banking,A+,Actual,Rating Outlook Stable,,Foreign
VGP NV,VGPA,3.2500,5/07/2024,5/07/2017,BE0002287564,Euro,Belgium,Corporate,Bond,Plain Vanilla Fixed Coupon,"80,399,639",Investment Grade,4.1156010,112.0,"75,000,000",Belgium,Service - Other,BBB-,Actual,Rating Outlook Stable,,Foreign
Go-Ahead Group Ltd,GOAHE,2.5000,5/07/2024,5/07/2017,XS1642733932,British Pound,Eurobond,Corporate,Bond,Plain Vanilla Fixed Coupon,"303,375,967",Investment Grade,5.7063720,190.3,"250,000,000",United Kingdom,Railroads,BBB-,Actual,Rating Outlook Stable,,Foreign
Samvardhana Motherson Automotive Systems Group BV,MOSSMO,1.8000,5/07/2024,5/07/2017,XS1635870923,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"321,598,559",High Yield,5.5131580,249.8,"300,000,000",India,Vehicle Parts,BB,Actual,Rating Outlook Stable,,Foreign
Samvardhana Motherson Automotive Systems Group BV,MOSSMO,1.8000,5/07/2024,5/07/2017,XS1635871731,Euro,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"321,598,559",High Yield,5.4329670,249.2,"300,000,000",India,Vehicle Parts,BB,Actual,Rating Outlook Stable,,Foreign
Legrand SA,LEGD,0.7500,5/07/2024,5/07/2017,FR0013266830,Euro,France,Corporate,Bond,Plain Vanilla Fixed Coupon,"535,997,598",Investment Grade,3.3199650,34.2,"500,000,000",France,Electronics,WD,Actual,,,Foreign
Bayer AG,BAYG,0.3750,5/07/2024,5/07/2020,XS2199265617,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"1,607,992,796",Investment Grade,3.7618250,77.3,"1,500,000,000",Germany,Pharmaceuticals,BBB+,Actual,Rating Outlook Stable,,Foreign
Standard Chartered Bank,STANHB,3.3500,5/07/2024,5/07/2022,HK0000860723,Hong Kong Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"248,413,972",Investment Grade,5.0377820,110.4,"1,950,000,000",United Kingdom,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Nordea Bank Abp,NDAFI,3.4100,6/07/2024,6/07/2014,XS1084460051,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"70,000,000",Investment Grade,5.5952950,70.7,"70,000,000",Finland,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
Caisse Francaise de Financement Local SA,SDFLCF,5.3750,7/07/2024,7/07/2009,FR0010775486,Euro,France,Corporate,Obligation Fonciere (Covered Bond),Plain Vanilla Fixed Coupon,"2,143,990,394",Investment Grade,3.4837090,51.7,"2,000,000,000",France,Financial - Other,WD,Actual,,,Foreign
Walmart Inc,WMT,2.8500,7/07/2024,22/04/2019,US931142EL30,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"1,500,000,000",Investment Grade,4.9950540,17.9,"989,571,000",United States,Retail Stores - Other,AA,Actual,Rating Outlook Stable,,Foreign
First Abu Dhabi Bank PJSC,FAB,5.7117,7/07/2024,7/07/2019,XS2022315274,US Dollar,Eurobond,Corporate,Note,Fixed Margin over Index,"900,000,000",Investment Grade,5.9618600,--,"900,000,000",United Arab Emirates,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
Bank of Ireland Group PLC,BIRG,0.7500,7/07/2024,7/07/2019,XS2023633931,Euro,Eurobond,Corporate,Note,Fixed Resettable,"643,197,118",Investment Grade,4.3148960,83.0,"600,000,000",Ireland,Banking,BBB,Actual,Rating Outlook Stable,,Foreign
Robert Bosch GmbH,ROBSCR,1.7500,7/07/2024,7/07/2014,XS1084563615,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"803,996,398",Investment Grade,3.4303280,46.3,"750,000,000",Germany,Industrials - Other,A,Actual,Rating Outlook Stable,,Foreign
Goldman Sachs Group Inc,GS,3.8500,7/07/2024,7/07/2014,US38141EC238,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"2,250,000,000",Investment Grade,5.2320850,41.4,"2,250,000,000",United States,Banking,A,Actual,Rating Outlook Stable,,Foreign
Oracle Corp,ORCL,3.4000,7/07/2024,7/07/2014,US68389XAU90,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"2,000,000,000",Investment Grade,5.0250800,20.8,"2,000,000,000",United States,Service - Other,BBB,Actual,Rating Outlook Negative,,Foreign
Mercedes Benz Group AG,MBG,1.8750,7/07/2024,7/07/2014,DE000A11QSB8,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"535,997,598",Investment Grade,3.2594490,29.5,"500,000,000",Germany,Automotive Manufacturer,A-,Actual,Rating Outlook Positive,,Foreign
NORD LB Luxembourg Covered Bond Bank SA,NORDLG,3.0000,7/07/2024,10/12/2014,XS1152098338,US Dollar,Eurobond,Corporate,Lettre de Gages (Covered Bond),Plain Vanilla Fixed Coupon,"100,000,000",Investment Grade,6.0374030,114.8,"100,000,000",Germany,Banking,WD,Actual,,,Foreign
Landesbank Hessen Thueringen Girozentrale,HLBG,0.7000,7/07/2024,7/07/2016,DE000HLB3DC9,Euro,Germany,Corporate,Inhaberschuldverschreibung,Plain Vanilla Fixed Coupon,"107,199,519",Investment Grade,3.9165810,94.0,"100,000,000",Germany,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Landesbank Hessen Thueringen Girozentrale,HLBG,0.4500,7/07/2024,7/07/2016,DE000HLB3DB1,Euro,Germany,Corporate,Inhaberschuldverschreibung,Fixed Margin over Index,"107,199,519",Investment Grade,3.7998600,--,"100,000,000",Germany,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Wuhan Urban Construction Group Co Ltd,WHGVTM,2.2500,8/07/2024,8/07/2021,XS2352437334,US Dollar,Eurobond,Corporate,Bond,Plain Vanilla Fixed Coupon,"500,000,000",Investment Grade,6.8226030,202.5,"500,000,000",,Financial - Other,BBB+,Actual,Rating Outlook Stable,,Foreign
Mitsubishi Corp,MITSB,2.5000,8/07/2024,8/07/2019,XS2020663055,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",Investment Grade,5.3554110,55.4,"500,000,000",Japan,Conglomerate/Diversified Mfg,WD,Actual,,,Foreign
Sumitomo Corp,SUMTM,2.6000,8/07/2024,8/07/2019,XS2022128917,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",Investment Grade,5.6554470,85.5,"500,000,000",Japan,Conglomerate/Diversified Mfg,WD,Actual,,,Foreign
Bank of Bahrain and Kuwait BSC,BBKB,5.5000,8/07/2024,8/07/2019,XS2017807301,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",High Yield,6.4046390,160.4,"500,000,000",Bahrain,Banking,B+,Actual,Rating Outlook Stable,,Foreign
Bank of Montreal,BMO,0.6250,8/07/2024,11/07/2021,US06367TQW35,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"1,150,000,000",Investment Grade,5.2241150,41.2,"1,150,000,000",Canada,Banking,AA-,Actual,Rating Outlook Negative,,Foreign
Bank of Montreal,BMO,4.7126,8/07/2024,11/07/2021,US06367WYQ04,US Dollar,United States,Corporate,Note,Fixed Margin over Index,"550,000,000",Investment Grade,5.4099690,--,"550,000,000",Canada,Banking,AA-,Actual,Rating Outlook Negative,,Foreign
Corporacion Nacional del Cobre de Chile,COBRE,2.2500,8/07/2024,8/07/2014,XS1084942470,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"643,197,118",Investment Grade,4.1200390,114.0,"399,884,000",Chile,Metals/Mining,A-,Actual,Rating Outlook Stable,,Foreign
Corporacion Nacional del Cobre de Chile,COBRE,2.2500,8/07/2024,8/07/2014,XS1084943106,Euro,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"643,197,118",Investment Grade,4.0784540,114.0,"399,884,000",Chile,Metals/Mining,A-,Actual,Rating Outlook Stable,,Foreign
Toronto-Dominion Bank,TD,4.3278,9/07/2024,9/07/2019,AU3FN0048930,Australian Dollar,Australia,Corporate,Note,Fixed Margin over Index,"487,550,060",Investment Grade,4.2967220,--,"700,000,000",Canada,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
Toronto-Dominion Bank,TD,2.0500,9/07/2024,9/07/2019,AU3CB0264778,Australian Dollar,Australia,Corporate,Note,Plain Vanilla Fixed Coupon,"383,075,047",Investment Grade,4.9092550,133.5,"550,000,000",Canada,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
Cooperatieve Rabobank UA,RABO,1.7500,9/07/2024,9/07/2019,XS2025594685,Norwegian Krone,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"49,551,067",Investment Grade,3.7725000,40.4,"500,000,000",Netherlands,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Nykredit Realkredit A/S,FRNYKR,0.1250,9/07/2024,3/09/2019,DK0009525404,Euro,Denmark,Corporate,Bond,Plain Vanilla Fixed Coupon,"535,997,598",Investment Grade,4.0206220,104.2,"500,000,000",Denmark,Mortgage Banking,A,Actual,Rating Outlook Stable,,Foreign
DZ BANK AG Deutsche Zentral Genossenschaftsbank Frankfurt am Main,DBANK,0.0800,9/07/2024,9/07/2020,DE000DFK0B47,Euro,Germany,Corporate,Inhaberschuldverschreibung,Plain Vanilla Fixed Coupon,"267,998,799",Investment Grade,3.8025860,82.9,"250,000,000",Germany,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
Mizuho Financial Group Inc,MZFG,5.7999,9/07/2024,9/07/2020,US60687YBG35,US Dollar,United States,Corporate,Note,Fixed Margin over Index,"400,000,000",Investment Grade,6.1160100,--,"400,000,000",Japan,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Mizuho Financial Group Inc,MZFG,1.2410,9/07/2024,9/07/2020,US60687YBF51,US Dollar,United States,Corporate,Note,Fixed then Floating,"1,100,000,000",Investment Grade,5.9254960,110.9,"1,100,000,000",Japan,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Commonwealth Bank of Australia,CBA,4.5000,9/07/2024,9/07/2014,AU3CB0222289,Australian Dollar,Australia,Corporate,Covered Bond (Other),Plain Vanilla Fixed Coupon,"75,918,509",Investment Grade,4.6066480,103.1,"109,000,000",Australia,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Muenchener Hypothekenbank eG,MNCHY,0.8750,10/07/2024,10/07/2017,DE000MHB9940,Euro,Germany,Corporate,Inhaberschuldverschreibung,Plain Vanilla Fixed Coupon,"401,998,199",Investment Grade,3.8221120,84.9,"375,000,000",Germany,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
RCI Banque SA,RENARB,2.0000,10/07/2024,10/01/2019,FR0013393774,Euro,France,Corporate,Bond,Plain Vanilla Fixed Coupon,"803,996,398",Investment Grade,4.0047870,102.8,"750,000,000",France,Financial - Other,WD,Actual,,,Foreign
First Abu Dhabi Bank PJSC,FAB,1.0878,10/07/2024,10/07/2019,XS2025483772,US Dollar,Eurobond,Corporate,Note,Other / Complex Floating Rate,"85,000,000",Investment Grade,--,--,"85,000,000",United Arab Emirates,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
National Australia Bank Ltd,NAB,2.0500,10/07/2024,10/07/2019,XS2025476560,Hong Kong Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"24,331,830",Investment Grade,5.0971700,117.7,"191,000,000",Australia,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Lloyds Bank Corporate Markets PLC,LLOYM,1.7500,10/07/2024,10/07/2019,XS2025842688,British Pound,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"606,751,935",Investment Grade,5.0303960,126.4,"500,000,000",United Kingdom,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Banco Bilbao Vizcaya Argentaria SA,BBVA,2.9700,10/07/2024,10/07/2022,XS2499418593,Euro,Eurobond,Corporate,Note,Fixed Margin over Index,"428,798,078",Investment Grade,3.3157050,--,"400,000,000",Spain,Banking,BBB+,Actual,Rating Outlook Stable,,Foreign
Sumitomo Mitsui Banking Corp,SUMFGI,3.4000,10/07/2024,10/07/2014,US865622BN30,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",Investment Grade,5.4802550,66.9,"500,000,000",Japan,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Bpce SA,BPCE,4.6250,10/07/2024,10/07/2014,US05578QAC78,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"800,000,000",Investment Grade,6.2522110,144.2,"800,000,000",France,Banking,A+,Actual,Rating Outlook Negative,,Foreign
Bpce SA,BPCE,4.6250,10/07/2024,10/07/2014,US05578UAC80,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"800,000,000",Investment Grade,6.2424770,144.4,"800,000,000",France,Banking,A+,Actual,Rating Outlook Negative,,Foreign
Commerzbank AG,CBKG,0.0500,10/07/2024,10/07/2016,DE000CZ40LM6,Euro,Germany,Corporate,Hypothekenpfandbrief Jumbo (Covered Bond),Plain Vanilla Fixed Coupon,"1,071,995,197",Investment Grade,3.4617710,49.5,"1,000,000,000",Germany,Banking,WD,Actual,,,Foreign
Tampa Electric Co,EMAEL,3.8750,11/07/2024,11/07/2022,US875127BK73,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"300,000,000",Investment Grade,5.4802220,67.0,"300,000,000",Canada,Utility - Other,A-,Actual,Rating Outlook Negative,,Foreign
CIMB Bank Bhd,CIMBK,2.3500,11/07/2024,11/07/2019,XS2026164454,Hong Kong Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"25,478,356",Investment Grade,5.1560140,123.4,"200,000,000",Malaysia,Banking,WD,Actual,,,Foreign
National Bank of Canada,NA,2.5450,11/07/2024,11/07/2019,CA63306AGD24,Canadian Dollar,Canada,Corporate,Note,Plain Vanilla Fixed Coupon,"750,187,546",Investment Grade,5.2640000,67.2,"1,000,000,000",Canada,Banking,A+,Actual,Rating Outlook Stable,,Foreign
American Honda Finance Corp,HONDFA,0.5500,11/07/2024,12/01/2021,US02665WDS70,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"900,000,000",Investment Grade,5.1612550,35.2,"900,000,000",Japan,Leasing,A,Actual,Rating Outlook Stable,,Foreign
Landesbank Hessen Thueringen Girozentrale,HLBG,3.3200,11/07/2024,11/07/2013,DE000HLB0Y89,Euro,Germany,Corporate,Inhaberschuldverschreibung,Fixed Margin over Index,"107,199,519",Investment Grade,3.4254510,--,"100,000,000",Germany,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Mediobanca Banca di Credito Finanziario SpA,MDBI,5.0000,12/07/2024,12/07/2018,XS1844094885,US Dollar,Eurobond,Corporate,Note,Step Up / Step Down,"250,262,000",Investment Grade,6.5266890,156.8,"250,262,000",Italy,Banking,BBB,Actual,Rating Outlook Stable,,Foreign
Intesa Sanpaolo SpA,ISP,4.3000,12/07/2024,12/07/2022,XS2499922834,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"200,000,000",Investment Grade,5.3821870,90.1,"200,000,000",Italy,Banking,BBB,Actual,Rating Outlook Stable,,Foreign
Mangistauskaya Regional'naya Elektrosetevaya Kompaniya AO,MREK,9.0000,13/07/2024,27/07/2014,KZ2C00002707,Kazakhstani Tenge,Kazakhstan,Corporate,Bond,Plain Vanilla Fixed Coupon,"3,505,645",High Yield,--,--,"1,605,200,000",Kazakhstan,Utility - Other,B+,Actual,Rating Outlook Stable,,Foreign
Private Export Funding Corp,PEFCO,2.4500,14/07/2024,1/07/2012,US742651DP49,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"400,000,000",Investment Grade,4.9902440,18.2,"400,000,000",United States,Financial - Other,AAA,Actual,Rating Outlook Stable,,Foreign
EDP Finance BV,EDPPF,3.6250,14/07/2024,27/06/2017,XS1638075488,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"1,000,000,000",Investment Grade,5.3956000,59.9,"1,000,000,000",Portugal,Financial - Other,BBB,Actual,Rating Outlook Stable,,Foreign
EDP Finance BV,EDPPF,3.6250,14/07/2024,27/06/2017,US26835PAF71,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"1,000,000,000",Investment Grade,5.4102700,60.2,"1,000,000,000",Portugal,Financial - Other,BBB,Actual,Rating Outlook Stable,,Foreign
Fidelity National Information Services Inc,FIS,1.1000,14/07/2024,9/07/2017,XS1640492994,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"535,997,598",Investment Grade,3.7484200,77.8,"500,000,000",United States,Information/Data Technology,BBB,Actual,Rating Outlook Stable,,Foreign
Intesa Sanpaolo SpA,ISP,0.5000,14/07/2024,14/01/2018,IT0005320673,Euro,Italy,Corporate,Obbligazione Bancaria Garantita (Covered Bond),Plain Vanilla Fixed Coupon,"803,996,398",Investment Grade,3.6346450,66.6,"750,000,000",Italy,Banking,BBB,Actual,Rating Outlook Stable,,Foreign
International Game Technology PLC,IGT,3.5000,14/07/2024,26/06/2018,XS1844997970,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"535,997,598",High Yield,4.1264620,115.7,"300,041,000",,Gaming,BB+,Actual,Rating Outlook Stable,,Foreign
